Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2626,2993,4099,759,22916,3047,12522,893,30875,8175,1327,607,6982,2566,846,671,1811,1525,1557,6982,17239,7467,1921,205,2225,889,315,3137,2285,36630,1248,0,11518,0,5822,1777,807,21961,2620,3874,219,2736,10249,497,4407,8902,2163,995,1894,310
5102,1184,3016,1522,13044,2978,4669,1890,24457,14511,1211,118,4708,2927,1463,2982,5790,1913,1338,9570,5673,9510,1089,2983,3945,50,228,2159,1746,13266,1432,20865,0,117,11709,1620,1728,10774,1717,22374,339,7780,13658,195,2190,27787,2000,5260,3007,427
312,922,776,4,1344,468,84,0,979,392,0,257,568,181,513,114,327,83,0,294,0,637,13564,113,63,1689,100,207,0,203,337,66,299,0,314,0,122,191,0,22,1222,96,1270,280,0,85,390,141,365,576
2326,1311,3845,930,7763,1788,1164,598,13641,4774,590,962,6871,10204,744,1521,10490,896,431,3273,3360,15255,2764,879,2545,239,480,1503,823,2187,689,10451,5793,232,0,382,990,10965,336,3473,791,8025,5372,1162,503,7827,1620,5679,1157,136
1313,765,4401,7671,9264,4385,0,43,4103,3389,247,189,2314,782,2370,5696,1431,1676,41,1776,525,893,562,1325,5505,138,437,1364,28,1033,2776,2076,2096,272,1573,0,2081,1180,147,690,332,1091,32437,1420,232,2351,1989,115,393,846
1178,4826,4833,457,32088,2955,787,0,3411,362,3155,5791,1506,300,487,1162,1942,1284,295,187,1325,1625,1408,94,401,2163,611,4062,0,788,1142,983,3120,0,1215,2361,0,1471,55,113,0,1037,5636,2239,303,1115,23557,901,769,1392
705,1185,2493,798,9955,3233,4552,5805,15365,5439,506,753,3731,1767,349,1345,2274,859,998,18826,5320,4431,1007,1279,1116,90,237,2401,511,38000,270,31898,8218,254,12275,781,1803,0,1406,2895,638,2016,6279,2374,583,11607,1491,4074,2252,151
0,2076,446,0,2045,0,3050,62,2074,710,196,87,54,0,0,0,132,66,400,754,6947,185,169,249,0,65,13,84,1064,1330,0,3042,654,0,592,0,56,982,0,611,13,782,327,0,521,2855,330,0,44,0
2447,241,1378,555,5290,1454,2951,1005,11845,17672,608,491,2501,1628,326,259,2213,2125,484,1692,1908,3353,637,808,1682,184,356,639,1240,4722,752,10762,24468,55,7011,876,616,7008,424,0,183,3330,4461,164,567,8035,1841,617,850,527
180,15,361,56,2390,1000,11,0,994,24,56,158,984,0,2539,384,30,16,234,0,46,511,5445,99,210,1756,2002,99,0,57,21,587,567,1658,1192,518,554,303,0,13,0,74,760,1032,165,299,891,0,674,666
9479,1101,3644,5854,7555,1728,476,352,14221,15255,1434,887,4449,6225,907,1515,9874,4497,807,1903,857,6991,887,8735,3246,0,1001,495,421,1643,882,5361,8333,0,7424,1840,682,2098,130,3456,0,0,7422,805,109,7904,2278,537,1316,452
8538,9457,21263,10856,61270,19748,2291,1896,38150,19389,6988,2303,23156,9112,2375,10722,4045,26438,748,9001,4162,12444,7075,6329,12940,1346,3355,6111,823,5813,15279,12973,16530,839,11900,25784,4375,9849,1385,9363,1360,10479,0,4435,485,17223,9996,906,2915,1369
336,783,10309,92,15623,6976,118,500,2599,1494,1968,7914,1357,521,962,809,456,60,156,532,1221,906,1212,191,1126,1682,1178,5272,206,380,954,1776,233,0,542,669,3060,608,106,119,71,1331,4769,0,0,1047,5817,96,656,1297
64,0,46,46,793,800,1354,0,806,115,262,26,313,52,199,0,39,384,996,123,1940,99,50,0,154,0,58,30,3828,558,148,2673,180,0,326,41,0,863,225,38,38,126,404,207,0,254,167,0,173,240
2890,1983,5651,602,17162,3707,5330,1236,18322,10684,4651,1225,6402,2432,998,2229,2257,2082,2891,26226,5017,7227,1026,1527,1394,524,1852,1506,1850,9348,760,18470,22109,213,6870,839,715,10518,1243,9969,0,10902,12764,3226,932,0,4090,4710,1469,1149
1179,3199,9507,708,42693,4974,1134,111,6782,5041,4084,8128,3899,1764,1593,723,792,970,459,2426,1762,4827,2021,1349,3886,3050,356,4082,342,1969,1683,5378,3145,488,2099,1521,26687,1113,456,1317,515,1189,10693,3716,112,3938,0,917,1518,1517
988,1272,931,321,181,765,0,200,4622,1397,241,530,592,1159,0,0,2901,0,54,4117,121,2085,80,892,433,0,169,105,0,1090,0,1117,2610,265,6950,114,0,3085,0,1217,153,433,1276,475,293,6307,37,0,42,0
574,603,2323,365,4361,2798,571,66,4493,1406,341,653,21139,2460,2636,1495,350,518,23,669,279,5456,16937,789,1398,176,313,976,94,410,657,2203,2137,306,2609,230,689,976,744,425,451,1397,3135,569,179,1710,1642,195,0,222
0,454,759,300,1581,4636,0,0,857,397,207,1241,171,164,92,440,0,324,0,0,124,1625,357,0,1681,1659,1861,235,0,122,199,96,153,189,224,187,81,92,107,101,1820,758,1340,3832,0,367,1770,0,286,0
